Time,<1,1-4,5-9,10-14,15-19,20-29,30+
2000-04,0.01816571095326902,0.00014908953355624588,1.086915475435871e-138,5.097442007651154e-208,1.7501801498345181e-208,3.4215275254719003e-219,2.6549290584455647e-13
2000-05,0.0019953322173305033,1.612937723730057e-05,1.1764994848606497e-139,5.521081317178417e-209,1.8962079010685758e-209,3.7015773605148446e-220,2.856779550875106e-14
2000-06,0.00030878457230876233,2.475349320657516e-06,1.8056680976652125e-140,8.474294770420308e-210,2.910592002707328e-210,5.680749677725332e-221,4.381447326262319e-15
2000-07,6.759072641027153e-05,5.389168167280189e-07,3.9311650625223164e-141,1.84495453089785e-210,6.336682000009479e-211,1.2367681652292737e-221,9.538861535504303e-16
2000-08,2.2291310838862266e-05,1.7702107210637585e-07,1.291285682436989e-141,6.0601499292928055e-211,2.0814147426516653e-211,4.062499307594781e-222,3.133174871893657e-16
2000-09,9.931401781515525e-06,7.863310072520058e-08,5.73594853520021e-142,2.6919602271689645e-211,9.245823640147602e-212,1.8045767317585293e-222,1.3920986488124426e-16
2000-10,6.279284106569527e-06,4.960152080735192e-08,3.618160966317459e-142,1.6980283233775102e-211,5.831992864987879e-212,1.1383077329431216e-222,8.783731663027095e-17
2000-11,5.645194345316185e-06,4.450956270218853e-08,3.2463848339291024e-142,1.523401953997566e-211,5.231834615694815e-212,1.0213716721652635e-222,7.877406409464993e-17
2000-12,6.335765800891124e-06,4.988183269216684e-08,3.6384816201800155e-142,1.7075105351615302e-211,5.864416149692759e-212,1.1447107179062589e-222,8.82608331038981e-17
2001-01,0.006048463735636167,0.005849686132765319,1.598568397026257e-06,3.80241432793675e-140,6.419387724487365e-209,2.1404952091656945e-209,8.115172792924012e-14
2001-02,11.021280640035569,4.6228108931181175,0.001543728357303765,4.868083993093938e-137,9.535719476207683e-206,1.6901172872907287e-206,1.9377548975062458e-11
2001-03,9.214525707175337,0.526218262649697,0.00030705413050262603,1.9142692181001413e-137,5.183008190099284e-206,1.919279041906922e-207,6.187486741233202e-14
2001-04,0.7685198573732122,0.01311764978386143,1.0856997582436056e-05,1.0133591656554533e-138,3.28966111535523e-207,4.7768668714786404e-209,4.1674021004911577e-17
2001-05,0.08149798245146167,0.00123301862448022,1.0449517258663413e-06,1.0051526787555718e-139,3.3100068443911933e-208,4.48951740175037e-210,3.0493186101154812e-18
2001-06,0.011994594053488239,0.000176039336707845,1.4951713166923438e-07,1.4430811150785061e-140,4.759684050902333e-209,6.409560311291379e-211,4.2351647362715017e-19
2001-07,0.0024690891316681007,3.5675200314722044e-05,3.030605642098162e-08,2.926848056732866e-141,9.656312703265012e-210,1.2989133688992918e-211,8.470329472543003e-20
2001-08,0.0007193438706420974,1.028572726713417e-05,8.736940974841088e-09,8.43944607121803e-142,2.7845856149717888e-210,3.7449458071540286e-212,0.0
2001-09,0.00029518097666159093,4.188309488117881e-06,3.557364893584376e-09,3.436542581065842e-142,1.1339242587279592e-210,1.5249209672830533e-212,0.0
2001-10,0.00017089275408666005,2.4102984289009477e-06,2.04752891921347e-09,1.9778123993541972e-142,6.525795847990836e-211,8.775710778591348e-213,0.0
2001-11,0.00013951772398490547,1.95839295752398e-06,1.6634799078165579e-09,1.6069649907412005e-142,5.302345054312374e-211,7.130324599798367e-213,0.0
2001-12,0.00017914459085055512,4.985561616044354e-05,2.0933879167617502e-08,5.2069622756299476e-11,5.420350265038848e-144,6.353491737857902e-212,0.0
2002-01,1.2824772523545969,1.460112843707051,0.00046297715373954166,1.5375980063319641e-06,1.751635685470639e-139,1.6937522408327314e-207,2.685094442796132e-17
2002-02,18.340639740152337,5.295795220205058,0.002262895723724243,1.177254421436318e-05,1.7255306768981323e-138,6.135873738633167e-207,1.8677076486957322e-17
2002-03,1.9576067492850568,0.045029969571266926,4.163330042173991e-05,5.191508299004854e-07,1.113109665311267e-139,5.198739032977274e-209,0.0
2002-04,0.1583895549749137,0.00279659670848198,2.74829698395618e-06,3.6988046028427876e-08,8.221003004345136e-141,3.227648808686482e-210,0.0
2002-05,0.017579088016905775,0.0002974791621479511,2.935280919359902e-07,3.975751162501053e-09,8.863223883566348e-142,3.4331249599753436e-211,0.0
2002-06,0.002727874139596409,4.535832162089193e-05,4.4762703314366005e-08,6.068549722201021e-10,1.3534471939345153e-142,5.234575191322729e-212,0.0
2002-07,0.0005929351958866569,9.752830396059231e-06,9.623434495576073e-09,1.3050017696593738e-10,2.9108350510100565e-143,1.1255129744613074e-212,0.0
2002-08,0.00018280757677624493,2.984114982895747e-06,2.943574171980186e-09,3.992567151902355e-11,8.90634304971441e-144,3.443728711634522e-213,0.0
2002-09,8.018412942512043e-05,1.301372748452323e-06,1.2826556697732687e-09,1.7406369192369394e-11,3.88371739951513e-144,1.5017562639086286e-213,0.0
2002-10,4.914918546594649e-05,7.941028501434744e-07,7.821112430383883e-10,1.061867485706619e-11,2.3697087067953716e-144,9.163476967044311e-214,0.0
2002-11,4.2538760258725716e-05,6.848242917190106e-07,6.746859371371556e-10,9.158451526768946e-12,2.0436805446255608e-144,7.902572344077012e-214,0.0
