Time,1-4,10-14,15-19,20-29,30+,5-9,<1
2004-06,4.05460745,1.02886242,0.0,0.39973612,0.05335544,1.91021498,10.11294717
2004-07,3.31740609,0.51443121,0.0,0.39973612,0.0,2.18310283,2.88941347
2004-08,0.36860067,0.51443121,0.25994909,0.0,0.05335544,0.81866356,0.0
2004-09,0.0,0.0,0.0,0.0,0.0,0.27288785,0.0
2004-10,0.0,0.2572156,0.0,0.13324537,0.02667772,0.0,1.44470673
2004-11,0.0,0.0,0.0,0.26649074,0.0,0.0,0.0
2004-12,0.36860067,0.0,0.0,0.0,0.0,0.27288785,0.0
2005-01,0.0,0.0,0.0,0.13052432,0.0,0.55063365,0.0
2005-02,1.84203924,0.0,0.0,0.0,0.0,0.0,1.40766954
2005-03,0.73681569,0.51739655,0.0,0.13052432,0.05303231,0.0,0.0
2005-04,2.94726278,0.0,0.0,0.26104865,0.02651615,0.55063365,0.0
2005-05,2.21044708,0.0,0.0,0.0,0.02651615,0.55063365,1.40766954
2005-06,0.0,0.0,0.0,0.13052432,0.0,0.0,0.0
2005-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08,0.0,0.25869827,0.25737879,0.0,0.0,0.55063365,0.0
2005-09,1.47363139,0.0,0.0,0.26104865,0.0,0.55063365,4.22300864
2005-10,0.36840784,0.25869827,0.0,0.13052432,0.0,0.0,4.22300864
2005-11,1.84203924,0.0,0.25737879,0.26104865,0.0,0.0,0.0
2005-12,0.73681569,0.0,0.0,0.13052432,0.07954847,0.27531682,2.81533909
2006-01,3.27618215,0.52240626,0.76461972,0.25449589,0.0790505,0.55756557,4.13686971
2006-02,9.10050598,2.35082819,0.76461972,0.50899178,0.05270033,2.5090451,9.65269599
2006-03,9.10050598,4.70165639,2.29385916,2.03596714,0.2371515,6.96956974,5.51582628
2006-04,16.74493101,3.65684386,2.80360564,1.6542233,0.68510435,11.15131158,22.06330513
2006-05,21.11317389,4.44045326,4.58771832,2.03596714,0.34255217,9.19983206,34.47391427
2006-06,15.28885006,2.08962506,2.5487324,1.90871919,0.34255217,8.64226648,23.4422617
2006-07,8.3724655,1.56721879,1.2743662,0.50899178,0.13175083,3.06661068,6.89478285
2006-08,1.82010119,0.0,0.76461972,0.12724794,0.02635016,0.83634836,6.89478285
2006-09,1.45608095,0.0,0.50974648,0.25449589,0.0,0.0,1.37895657
2006-10,1.45608095,0.0,0.0,0.25449589,0.02635016,0.27878278,1.37895657
2006-11,0.36402023,0.0,0.25487324,0.0,0.02635016,0.0,0.0
2006-12,0.36402023,0.0,0.0,0.0,0.0,0.27878278,0.0
2007-01,0.712671,0.0,0.0,0.0,0.0524011,0.56672764,1.34096251
2007-02,0.0,0.26344546,0.0,0.0,0.02620055,1.13345529,1.34096251
2007-03,0.712671,0.26344546,0.0,0.12408528,0.07860165,0.28336382,1.34096251
2007-04,3.20701952,1.31722733,1.51125583,0.24817057,0.02620055,2.83363823,1.34096251
2007-05,8.90838756,2.89790012,1.51125583,0.37225586,0.07860165,6.80073175,13.40962516
2007-06,14.60975561,3.95168199,4.03001555,0.74451173,0.23580495,9.91773381,14.75058767
2007-07,15.67876211,7.11302758,2.51875972,1.98536463,0.28820605,15.8683741,17.4325127
2007-08,22.09280116,6.58613665,6.04502333,1.1167676,0.2096044,10.76782528,21.45540025
2007-09,14.2534201,2.10756373,1.00750388,1.73719405,0.3144066,5.95064028,13.40962516
2007-10,12.11540709,3.42479106,1.25937986,1.1167676,0.1048022,7.08409558,12.06866264
2007-11,9.26472307,2.63445466,1.00750388,0.37225586,0.2096044,4.81718499,24.13732528
2007-12,9.62105857,3.68823652,1.25937986,0.74451173,0.1048022,2.5502744,17.4325127
2008-01,7.62847125,2.64936525,1.25155787,1.08993633,0.18225265,5.74746831,2.58789795
2008-02,8.66871733,2.91430177,2.0024926,0.84772826,0.15621655,4.02322781,16.8213367
2008-03,9.36221472,10.06758795,3.50436205,1.45324845,0.26036093,7.18433539,18.11528567
2008-04,11.78945558,7.15328617,4.25529678,0.84772826,0.44261358,8.04645563,16.8213367
2008-05,16.29718859,8.74290533,2.0024926,0.9688323,0.3645053,12.9318037,19.40923465
2008-06,13.17645035,6.88834965,4.0049852,1.45324845,0.26036093,15.51816444,10.35159181
2008-07,8.32196864,5.82860355,3.50436205,1.9376646,0.28639702,7.18433539,12.93948977
2008-08,10.4024608,2.91430177,3.0037389,1.33214441,0.13018046,5.17272148,14.23343874
2008-09,6.24147648,2.91430177,3.50436205,1.45324845,0.05207218,4.59797464,7.76369386
2008-10,10.74920949,6.09354007,2.0024926,2.17987267,0.15621655,7.18433539,10.35159181
2008-11,10.74920949,7.94809575,3.75467363,0.60552018,0.15621655,7.75908222,15.52738772
2008-12,7.62847125,2.91430177,2.0024926,1.21104037,0.31243311,4.02322781,7.76369386
2009-01,10.11125412,6.13570907,3.74373392,0.83624266,0.15501816,7.22812631,6.36553445
2009-02,12.47054675,6.13570907,1.49749357,0.59731618,0.1291818,12.43237726,15.27728268
2009-03,13.81871397,9.33694859,3.2445694,1.19463237,0.31003632,9.25200168,15.27728268
2009-04,23.5929263,17.07327743,5.98997428,1.79194856,0.2583636,13.58887747,30.55456536
2009-05,23.9299681,15.47265767,4.74206297,1.91141179,0.2583636,18.79312842,25.4621378
2009-06,16.85209021,8.00309879,3.2445694,1.07516913,0.18085452,12.43237726,10.18485512
2009-07,4.71858526,1.60061975,0.74874678,0.59731618,0.02583636,3.75862568,6.36553445
2009-08,3.37041804,0.53353991,0.0,0.47785294,0.07750908,2.02387536,2.54621378
2009-09,0.6740836,0.80030987,0.0,0.11946323,0.05167272,0.5782501,0.0
2009-10,0.6740836,0.26676995,0.0,0.0,0.0,0.28912505,1.27310689
2009-11,0.3370418,0.0,0.0,0.0,0.0,0.0,1.27310689
2009-12,0.3370418,0.0,0.0,0.0,0.0,0.0,1.27310689
2010-01,0.6569249,0.26883982,0.0,0.0,0.0,0.0,2.54045354
2010-02,0.32846245,0.0,0.24941729,0.23705445,0.0,0.0,3.81068032
2010-03,0.98538736,0.26883982,0.24941729,0.11852722,0.07683203,0.0,1.27022677
