Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
50-54,6.266907982,6.030389669,5.856430968,5.768547751,5.556106921,5.391433769,5.211954565,5.022950608,4.922903951,4.900153109,4.729826155,4.759465479,4.485350988,4.507677053,4.381870113,4.251648909,4.177880302,4.138607388,4.051655563,4.044311369,3.98680231,3.973347188,3.880093943,3.796892521,3.796035084,3.678479096,3.654475582,3.46406316,3.431999149,3.292466938,3.159718033,3.167191041,3.112560469,3.179173849,3.195393073,3.18950943,3.233898167
55-59,10.77704291,10.53261978,10.20579317,10.07112699,9.743363122,9.491173074,9.120029332,8.8536536,8.568656818,8.237350884,7.963609002,7.920370433,7.442139665,7.433637117,7.386924616,7.220486573,7.042795215,6.890178175,6.613374327,6.460652705,6.220124211,6.172636763,5.843718093,5.812221937,5.773362763,5.774176163,5.631488302,5.536767458,5.442287363,5.216710036,5.085491962,5.064558076,4.917355791,4.931578556,5.005551204,4.811781528,4.930108854
60-64,16.85171203,16.90818514,16.60767773,17.00937848,16.54099165,16.07678122,15.91578518,15.38379604,14.90280032,14.2573229,13.86015059,13.77453394,12.96837242,12.70550764,12.35110393,11.89834507,11.60011288,11.2655544,10.95438403,10.64466753,10.53727112,10.30229959,9.743136103,9.474510216,9.305845468,8.946659734,8.725195029,8.397380736,8.304164465,8.067387466,8.004624207,8.009783114,7.890424815,7.967800957,7.920530423,7.756489631,7.703828011
65-69,26.96168455,26.9907985,26.41964176,26.05433071,25.40456628,24.73686125,24.77297316,24.73116462,24.49614586,23.84739561,23.20448056,23.27941231,22.0210416,21.69517008,21.00373571,20.2447526,19.61033525,19.06335032,18.15868379,17.16559032,16.87094674,16.52989387,15.79698245,15.31560884,14.85431758,14.65236921,14.2604531,13.46624995,13.15827925,12.63511007,12.28705203,12.13807388,11.91630623,12.14577923,12.24440859,12.14821059,12.19072351
70-74,42.55401685,41.86305136,40.50193371,41.57361887,40.70404062,39.72382451,39.67633207,39.59889551,37.32911801,36.73481027,35.92269799,36.71976449,35.16000313,35.5365223,34.86403708,33.95401718,33.22643756,32.41949968,30.61960147,29.31339794,28.58758763,27.74268072,26.29737172,25.35613671,24.2594151,23.54023729,23.16463338,22.05294836,21.7099671,21.29405602,20.97450765,20.54407435,19.96229446,20.17163744,19.78250846,19.13558163,19.09800603
75-79,66.68335347,65.07225107,62.85167941,64.93017142,63.53331882,61.10966905,60.38275454,60.80491716,58.85515767,58.26310711,57.03147353,58.92615117,55.58572725,55.06284796,53.5569039,52.54809703,51.78794386,52.37648317,50.37092507,48.91312637,48.49140206,47.72185238,44.97220059,43.73787894,41.7054738,40.5854264,39.78378084,37.51504516,36.72846515,34.98889741,35.09475609,34.65378006,33.64865023,34.44094005,34.12493897,34.12868631,33.57620939
80-84,104.7016492,102.6317815,98.1486637,102.1028881,99.03516522,94.28877464,94.04648441,95.09210955,91.46419952,92.29590615,89.57312751,92.37073322,87.30952747,88.6257912,88.29230769,86.86947601,86.09861019,85.15208316,79.92373154,77.49171629,77.07978387,78.01772144,75.43266143,74.36054672,71.68292626,70.96218455,69.93926089,66.30685087,64.67707373,62.06368521,62.78522512,62.51044422,60.2149701,62.60779067,59.93355515,59.73747509,59.10796952
85+,189.8178888,187.2827283,179.8218636,189.0182882,182.8817144,168.1771519,170.0113108,173.2215167,164.5773672,172.3313867,166.3073874,175.9165613,164.4897331,170.536566,170.7153285,170.6015253,168.136692,171.301264,165.1201859,164.7171186,168.5363604,174.2267564,162.3577356,160.1339582,152.8815538,152.8390746,154.5911644,146.6977271,146.8600863,143.003912,149.6139305,150.754158,144.3733298,155.3028888,147.9229757,150.3431803,150.4166636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(unit: per 1000 population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
