Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,0.01107107808776111,0.01028955098615191,0.00981491867638811,0.009476947964410893,0.0095873948457738,0.00934010822225155,0.009058370750481078,0.008488387180485273,0.00808768536428111,0.007376218817272382,0.006548210419054897,0.006401585204755614,0.006126853813559322,0.006166461664616646,0.006254869226488592,0.0058339015409791355,0.005696842105263158,0.005761533002129169,0.0055876318874560375,0.005569958742164181,0.005346139084235689,0.0054213057610566105,0.005194123074739159,0.005126121862658464,0.005091037893288467,0.0049377565421973545,0.004751181451996575,0.004697684758140141,0.004425354350398648,0.0043710308743060275,0.004102469816755531,0.0038672297386812557,0.0038727865431589553,0.0038878997488313773,0.0038392229535433573,0.0038928146058508834,0.0037986589968910306
1-4,0.00047069303402814895,0.00044022743921582307,0.00043799673758372957,0.0004538799414348463,0.0004196771182632143,0.0004122830987839869,0.0004150943396226415,0.0004115903852486006,0.0003793710855949896,0.0003730543008481461,0.00032642286891578675,0.00032449990351836365,0.0002957796506183603,0.0002696293408699607,0.0002815595084302229,0.00027085590465872155,0.0002744027303754266,0.00027794082104754344,0.00023634398856624953,0.00023302003901400957,0.0002394720906492298,0.0002442385413560124,0.00023084171028551494,0.0002183007178608144,0.00022791384784312592,0.0002267864708684867,0.0002103457262878802,0.00018238021124877292,0.0001822164536585556,0.0001813995406464542,0.00016444115632002702,0.00017199275022616737,0.00015732666588465154,0.00015690748273325451,0.00015378122346732412,0.0001366675631892017,0.00013159701019166772
5-9,0.0002178024875336734,0.00023393377325961595,0.00021683369124314005,0.0002080451990701233,0.0001900614310847057,0.0001808807370467416,0.00019259463940315003,0.0001885701701260805,0.00017125164401578255,0.00018459771372313078,0.00016104585070102312,0.00014994939540829914,0.00013872467880507607,0.0001416866715374178,0.0001259419841024053,0.00013398701198696065,0.0001337429965660582,0.00011798568613214397,0.00011673151750972762,0.00011996495309584556,0.0001094303273317779,0.00011146592921532879,0.00010025375705063308,9.602644241678908e-05,0.0001022349572775842,9.635161879296867e-05,0.00010658720479821512,9.260746445103308e-05,9.37542419480636e-05,8.284559052223824e-05,8.92598436442185e-05,7.84272231259815e-05,8.473126972528413e-05,7.636973674694256e-05,6.885523953697576e-05,7.511949834761414e-05,7.369777244254231e-05
10-14,0.00023922126819413196,0.00023272882238742365,0.00022791811739141172,0.00024126134931454,0.0002035230352303523,0.00021575771376522828,0.0002094688153669387,0.00019677362169828044,0.0001979938181606112,0.00019169512440095273,0.00017000112397437338,0.00018743961352657003,0.00017338177014531044,0.00017705421257468618,0.00015969042947460213,0.00016218546257880273,0.00015733015494636473,0.00015075114304376224,0.00013510704635210974,0.00014627042548241606,0.00014223659368940234,0.00013990602422504897,0.00012448235443296353,0.0001371105916373965,0.00013111125591445765,0.00012731908275317742,0.00010071207957689234,0.00010819873214653965,9.904265958956938e-05,8.870340265157467e-05,9.506910125586283e-05,9.540952770301987e-05,9.596836337597395e-05,9.015986753261462e-05,8.855020962400091e-05,8.544522318345866e-05,9.121784635701318e-05
15-19,0.0005581835383159886,0.0005401688424348857,0.0005113893498265199,0.0004929515418502202,0.0005159749045524571,0.0005085907512337782,0.0005028826920814213,0.0005234254333276128,0.0005157980705425961,0.0005256224122170243,0.00046244902582691437,0.00046073882656956597,0.00042252273532538087,0.0004533107456844934,0.0004526512429946831,0.00045696427063096547,0.0004587638861955287,0.00043442283822920974,0.00042283763695424766,0.0004222303605107764,0.00040771067120604125,0.0003802941708802424,0.00037592770819742016,0.00037741731689106586,0.0003661157701137543,0.00035106301731401734,0.00034655652925012174,0.0003301069486765848,0.0002881241617723459,0.00025094431326710113,0.0002442874562848998,0.0002402652652137099,0.00024755304336983856,0.000248700728293016,0.00023683971667089627,0.00023810584371671884,0.00026653948354568374
20-29,0.000634791281502384,0.0006073072428513511,0.0006148116348954043,0.0005862279373545165,0.0005984592362689131,0.0005986219247190889,0.0006088172789174654,0.0006172999331132544,0.0006534538161271539,0.000632386413376521,0.0006243502112504701,0.0006354191289861435,0.0006225429727579806,0.0006533953136273849,0.0006420455927791159,0.0006515214306345678,0.0006711842529848338,0.0006509698926424653,0.0006529645941620707,0.0006205799681907753,0.0006239585309213201,0.0006032508188365068,0.0005721938154370587,0.0005327167537165589,0.0005363786055740868,0.00051834072680113,0.0005262227341637262,0.0005019568333803558,0.00046365513302904887,0.00043686200500969155,0.00040827380977838894,0.00040300513496863556,0.00041830835275178443,0.00041140500762541587,0.0004349414032838989,0.00039180626574568573,0.00043320802364622493
30+,0.02014551290875643,0.01999260880955054,0.019480304935798904,0.020204846666563567,0.019813362493839328,0.01920349672411839,0.019241019486967062,0.019378979109768234,0.018769096320232565,0.018769148742877398,0.018295081095924388,0.01883750866712111,0.017754653174416886,0.01802030675304257,0.017782041333754006,0.017448555961762702,0.017159345290929086,0.017066799060703033,0.0164064765256093,0.016095969252409345,0.016068643174217658,0.016071835497188647,0.015268997820227373,0.015121585141628055,0.014747445564171381,0.01473181791068821,0.014758214118345823,0.014127943812602883,0.014068482098271263,0.013712865452679605,0.01402992141963269,0.014106269439281616,0.013820177721328932,0.01448300568596048,0.01420296604008082,0.01433311347113189,0.014411776598135723
total,0.011771430702643951,0.01169711769685504,0.011422625341615348,0.011845299808011247,0.011640179482165414,0.011318145090461971,0.011376055150853496,0.011491495811239332,0.011179141758287697,0.01124990424591043,0.011013982856587156,0.011404467223553507,0.010822793779618192,0.011059347446936117,0.010984077807444799,0.010846780693420769,0.010732673335054869,0.010726480506711334,0.010368884126366842,0.01022436412312307,0.010242366140286752,0.01026356907769251,0.00975458631076869,0.009649600859254844,0.009407406422220592,0.009372075492006362,0.009376603549844872,0.008988317245066156,0.00894950396000883,0.008726092039450965,0.008932167522721518,0.00899231134901143,0.008829251972297307,0.009257897177568667,0.00909708610707638,0.009193971753186985,0.009272354936476029
