Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,0.00014025173205649852,0.00013054751514269538,0.00012398223865872472,0.00012416567905203124,0.00012649017939408034,0.00012431055682417003,0.00012373543992583934,0.00011429769465288759,0.00010924849852988309,0.00010141228577198688,8.927703143885192e-05,8.396619866686765e-05,7.996695551784092e-05,7.776039045642868e-05,7.729853982095485e-05,7.336170854926278e-05,6.941439831449049e-05,6.91667106875263e-05,6.475256301614824e-05,6.243971716821216e-05,5.959672623627286e-05,6.180761760274243e-05,6.103382458194916e-05,6.078134216724152e-05,6.14365664492198e-05,6.099243995445137e-05,6.057540455473988e-05,5.905832472942791e-05,5.583222391220217e-05,5.53368408968645e-05,5.253902242884117e-05,4.78116953615355e-05,4.6658692684734366e-05,4.63830198583524e-05,4.575916294487572e-05,4.4987730130372504e-05,4.261272767366267e-05
1-4,2.3461129295508996e-05,2.2396814044328653e-05,2.2352226455330086e-05,2.2996260899821436e-05,2.138705818724422e-05,2.1201475496223432e-05,2.158930208024842e-05,2.1839210992985245e-05,2.025765366553795e-05,1.998648996845338e-05,1.7608813436879176e-05,1.748285069229663e-05,1.5830933921405288e-05,1.4304327145132048e-05,1.4613825366506144e-05,1.3718879579104775e-05,1.3749489097031376e-05,1.3717467874712658e-05,1.1513831031982298e-05,1.1114303489437927e-05,1.1151224637765018e-05,1.1150858845855592e-05,1.040861069667567e-05,9.848828591914135e-06,1.0373688367529487e-05,1.0518749671289073e-05,9.947629853448606e-06,8.817791753183553e-06,8.938892013340588e-06,8.959448540411813e-06,8.209712796619042e-06,8.64198343565764e-06,7.91061445318489e-06,7.832894082039643e-06,7.57067376285061e-06,6.61717875024328e-06,6.276759957582951e-06
5-9,1.3497697399384433e-05,1.3966951388975159e-05,1.2876441072127552e-05,1.2487216940225618e-05,1.1609613958314615e-05,1.127700685051818e-05,1.2214077556763919e-05,1.1967887624155914e-05,1.0886529269958056e-05,1.1751638265423373e-05,1.0332587766216085e-05,9.755049494314175e-06,9.12525448744759e-06,9.358132096152653e-06,8.390055033947056e-06,8.951568925365865e-06,8.858501681918224e-06,7.753351407446285e-06,7.540030941298142e-06,7.578703140438647e-06,6.822123834282223e-06,6.874965604211718e-06,6.105050504780921e-06,5.743770624191941e-06,5.984187901395774e-06,5.495842851510725e-06,5.968577912069163e-06,5.139696468157991e-06,5.194436357128399e-06,4.629838487373301e-06,5.10163797113038e-06,4.6017781832473e-06,5.062174023858042e-06,4.63830198583524e-06,4.234702829119656e-06,4.678966210126255e-06,4.590915556505516e-06
10-14,1.8506053539682343e-05,1.744537892676313e-05,1.6347943754571845e-05,1.656719871277458e-05,1.3230379488155198e-05,1.3314596873353241e-05,1.2459410534948559e-05,1.163593161706254e-05,1.1827125398882432e-05,1.1629769424152314e-05,1.0506244703463414e-05,1.176497088213024e-05,1.0888087740704511e-05,1.113324739247627e-05,1.007494313502659e-05,1.0323456883276344e-05,1.0158204631388852e-05,9.832272004607706e-06,8.830666868187013e-06,9.625629658280336e-06,9.365681115705967e-06,9.138673790964357e-06,8.05666501040761e-06,8.739800834505317e-06,8.20359824944091e-06,7.86052301017261e-06,6.130327990987027e-06,6.488866791049463e-06,5.847724365233503e-06,5.119684880235322e-06,5.3370981851825515e-06,5.256946602557085e-06,5.2324612234373645e-06,4.9147570710836985e-06,4.889710820674136e-06,4.830389064822897e-06,5.29836811767194e-06
15-19,4.71531402570601e-05,4.5308293387615736e-05,4.202997890530768e-05,3.952813509508477e-05,4.071292542893031e-05,3.910064992095556e-05,3.744832674146986e-05,3.73013723760188e-05,3.520268104733637e-05,3.4036226383559547e-05,2.8358177852488852e-05,2.7185919461063837e-05,2.473151358245739e-05,2.6747368348487877e-05,2.707855876734962e-05,2.783217694610881e-05,2.8319843214781044e-05,2.683852410269868e-05,2.608443136449087e-05,2.627170977031522e-05,2.57219335677752e-05,2.4380975581765458e-05,2.4270077826383172e-05,2.43655053568027e-05,2.3755910762409048e-05,2.2864010913406636e-05,2.2402385930124094e-05,2.1297617239929672e-05,1.837173349622406e-05,1.575409205430437e-05,1.5053756351735491e-05,1.455409845752451e-05,1.4753063745372214e-05,1.4606043670626865e-05,1.3633305870726953e-05,1.3355495784243873e-05,1.4721034145122604e-05
20-29,9.269010885182547e-05,9.038587474466389e-05,9.38545546646546e-05,9.163179842417327e-05,9.511427277836207e-05,9.629369401018795e-05,9.839604803619713e-05,9.997117224148926e-05,0.00010555578780151332,0.00010061143338649136,9.802934107611731e-05,9.781039857087658e-05,9.332646634889581e-05,9.520132909603546e-05,9.07432591581405e-05,8.896693407049447e-05,8.892704391114821e-05,8.452005050754632e-05,8.384038909276785e-05,7.871362882245765e-05,7.829439896726858e-05,7.538986672325825e-05,7.212633437888718e-05,6.847832585672063e-05,7.011692692157411e-05,6.903235249390177e-05,7.105680966861744e-05,6.766731631359253e-05,6.265191336266522e-05,5.946103149483185e-05,5.5443031735484626e-05,5.4472574291184984e-05,5.6380543715262957e-05,5.519886535460879e-05,5.8067220088504074e-05,5.1907754590009065e-05,5.680693544344858e-05
30+,0.01143587084124399,0.011377066869219998,0.01111118195810463,0.011537923518887137,0.011331635052930326,0.011012647110486563,0.011070212545978028,0.011194482541734732,0.010886163482574585,0.010970476402710363,0.010759870660313139,0.011156501835785957,0.01058892456801944,0.010824842652401403,0.010755878626162873,0.010623625968467155,0.010513245854204111,0.010514652130126798,0.010166322214051969,0.010028620431073929,0.010051414051927682,0.010074826119543714,0.009572585747769605,0.009471643285823467,0.009227535543569023,0.00919531157311163,0.009200522413934886,0.008819847631770815,0.008792667036502038,0.008576831103096942,0.008790483263252526,0.008856972272679724,0.008693254422451457,0.00912432329554612,0.008962931330759628,0.009067594238657167,0.009142048195582035
total,0.011771430702643951,0.01169711769685504,0.011422625341615348,0.011845299808011247,0.011640179482165414,0.011318145090461971,0.011376055150853496,0.011491495811239332,0.011179141758287697,0.01124990424591043,0.011013982856587156,0.011404467223553507,0.010822793779618192,0.011059347446936117,0.010984077807444799,0.010846780693420769,0.010732673335054869,0.010726480506711334,0.010368884126366842,0.01022436412312307,0.010242366140286752,0.01026356907769251,0.00975458631076869,0.009649600859254844,0.009407406422220592,0.009372075492006362,0.009376603549844872,0.008988317245066156,0.00894950396000883,0.008726092039450965,0.008932167522721518,0.00899231134901143,0.008829251972297307,0.009257897177568667,0.00909708610707638,0.009193971753186985,0.009272354936476029
