Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,713300,714900,713200,741800,748900,757700,779500,770700,775500,789700,785100,757000,755200,731700,718800,733300,712500,704500,682400,662662,661786,679910,704450,716331,734035,757429,788225,782726,791801,801184,815850,792557,778251,776769,782450,763201,745263
1-4,2806500,2866700,2881300,2868600,2892700,2927600,2968000,3037000,3065600,3077300,3106400,3109400,3096900,3078300,3018900,2953600,2930000,2896300,2868700,2819500,2764414,2722748,2703151,2725598,2768590,2844085,2923758,3010195,3078756,3125697,3180469,3221066,3248019,3250323,3231864,3197540,3168765
5-9,3489400,3364200,3352800,3398300,3467300,3549300,3619000,3632600,3649600,3656600,3694600,3754600,3806100,3832400,3874800,3895900,3873100,3856400,3803600,3734424,3700985,3678254,3650736,3613588,3560426,3497606,3461954,3455445,3477176,3536700,3641055,3761449,3859260,3954446,4037456,4113446,4138524
10-14,4355800,4223800,4049700,3887900,3690000,3513200,3394300,3384600,3429400,3484700,3558800,3622500,3633600,3648600,3669600,3711800,3775500,3827500,3848800,3890055,3908980,3895472,3880068,3850906,3805928,3785764,3763203,3733870,3705474,3652622,3576346,3532142,3521994,3549251,3625062,3733386,3858894
15-19,4756500,4726300,4640300,4540000,4478900,4376800,4249500,4078900,3918200,3719400,3531200,3405400,3386800,3423700,3479500,3551700,3609700,3625500,3632600,3678087,3745303,3823356,3870425,3900192,3946839,3993585,3996462,4016880,4001747,3972993,3925703,3883208,3849680,3823873,3778927,3704235,3669250
20-29,8221600,8386200,8618900,8849800,9021500,9157700,9222800,9269400,9273800,9138400,9041400,8883900,8674100,8454300,8220600,7962900,7747500,7619400,7560900,7497825,7449213,7452953,7556880,7765853,7951473,8166443,8348176,8393152,8480441,8613704,8651057,8664902,8706496,8735917,8764399,8749222,8711750
30+,31962800,32065200,32203500,32331500,32464000,32647700,32832200,33063300,33298300,33572700,33867300,34180900,34508700,34855400,35181900,35504600,35826600,36154700,36488700,36830463,37134996,37383969,37584654,37840808,38059676,38274163,38541994,38868218,39224061,39582245,39914550,40250330,40633052,41019455,41427896,41779199,42143104
total,56305900,56347300,56459700,56617900,56763300,56930000,57065300,57236500,57410400,57438800,57584800,57713700,57861400,58024400,58164100,58313800,58474900,58684300,58885700,59113016,59365677,59636662,59950364,60413276,60826967,61319075,61823772,62260486,62759456,63285145,63705030,64105654,64596752,65110034,65648054,66040229,66435550
